"The file you uploaded is larger than %s Megabytes allowed by server","La taille du fichier est superieure a %s Mo, taille maximum toleree par le serveur."
"File upload failed","Erreur lors du chargement de votre image"
"The file '%s' has an invalid extension","L'extension du fichier %s est invalide"
"Maximum allowed image width for '%s' is %s px.","La largeur de '%s' ne doit pas exceder %s px."
"Maximum allowed image height for '%s' is %s px.","La hauteur de '%s' ne doit pas exceder %s px."
"Cannot create writeable directory '%s'","Impossible de creer le repertoire '%s'"
"Customize your account with an avatar","Personnalisez votre compte avec un avatar"
"Browse","Parcourir"
"Please select an image (.jpg ou .png ou .gif)","Veuillez sélectionner une image (.jpg ou .png ou .gif)"
"Your avatar is being checked by our team","Votre avatar est en cours de vérification"
"To moderate","A modérer"
"Accepted","Accepté"
"Rejected","Rejeté"
"Avatar validation","validation de l'avatar"
"No avatar","Pas d'avatar"