"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Qui è possibile inserire un prefisso ordine. Il prefisso consente di modificare il numero d'ordine che viene trasmesso a Authorize.net. Il prefisso deve contenere il tag {id}. Sarà poi sostituito dal numero d'ordine (ad es name_{id}).",,
"Discovercard","Discovercard",,
"Successful payment authorization.","Autorizzazione al pagamento di successo.",,
"Disabled","Disattivare",,
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","È possibile specificare lo stato dell'ordine per gli ordini che vengono catturati subito dopo l'ordine o manualmente nel backend.",,
"Deferred capturing","Contabilizzazione ritardata",,
"Test without 3D-secure (Paybox System and Paybox Direct)","Test without 3D-secure (Paybox System and Paybox Direct)",,
"Bad signature format.","Formato di firma falsa.",,
"Paybox SSL-Password","Paybox SSL-Password",,
"Update Qty's","Aggiornamento quantità",,
"Authorization is uncertain.","Autorizzazione è incerto",,
"Refund information","Informazione del rimborso",,
"Excl. Tax","Escl. Tasse",,
"Qty","Quantità",,
"Inactive","Inattivo",,
"No button returned.","Nessun tasto restituito.",,
"You have to enter your social security number.","È necessario inserire il numero di sicurezza sociale.",,
"Adjust Qty","Regolare la quantità",,
"The signature could not be verified.","La firma non può essere verificata.",,
"Default Config","Configurazione predefinita",,
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Se lo stato è 'In sospeso' non è chiaro se l'operazione sarà rimborsato con successo.",,
"The parameters ""3DSIGNVAL"" was false.","I parametri ""3DSIGNVAL"" era falsa.",,
"Please enter here the CVC code from your card. You find the code on the back of the card.","Inserisci qui il codice CVC. È possibile trovare questo sul retro della vostra carta di credito.",,
"Message","ID della contabilizzazione",,
"You can specify the order status when an order is cancelled.","È possibile specificare lo stato dell'ordine quando un ordine viene annullato.",,
"Payment with %s","Payment with %s",,
"Deferred settlement","Creazione ritardata",,
"Select Brand","Seleziona Marca",,
"Only authorized transaction can be captured.","Solo transazioni autorizzate possono essere contabilizzate.",,
"Transaction Updates","Aggiornamento per le transazioni",,
"Failed payment authorization.","Impossibile autorizzazione al pagamento.",,
"Transaction Authorized","Operazione autorizzata",,
"Cancel pending orders when out of stock","Ordini pendenti annullare se l'articolo non è più disponibile.",,
"Paybox Identifier","Paybox Identifier",,
"You have to enter the BIC.","È necessario inserire il BIC.",,
"Order cancelled, because the customer was too long in the payment process of Paybox.","L'ordine è stato annullato perché il cliente si trovava troppo a lungo nel processo di pagamento di Paybox.",,
"Don't change order status","Non modificare lo stato dell'ordine",,
"Uncertain transactions","Transazione è incerto",,
"Current Configuration Scope:","Attuale ambito di configurazione:",,
"Paybox Username","Paybox Nome utente",,
"Deferred (authorization)","Differito (autorizzazione)",,
"Please enter the name of your bank.","Si prega di inserire il nome della vostra banca.",,
"You have to enter sales tax number of you company.","È necessario inserire il numero di imposta sulle vendite di compagnia.",,
"Issue Number","Numero Issue",,
"Please select the the year of your birth.","Si prega di selezionare l'anno di nascita.",,
"Pending","In sospeso",,
"Refund ID","ID rimborso",,
"Timeout for pending payments (min)","Timeout per i pagamenti in sospeso",,
"A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellato nuovamente",,
"The configuration has been saved.","La configurazione è stata salvata.",,
"Payment details can be entered after placing the order","Dettagli di pagamento possono essere inseriti dopo l'ordine",,
"Customer sucessfully returned from the PayboxCw payment page.","Cliente ha restituito correttamente dalla pagina di pagamento (Payment Page) di ___Module Camel ___.",,
"Masked Card was not long enough","Masked Card non era abbastanza a lungo",,
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La quantità di cattura (!captureAmount) non può essere superiore all'importo autorizzato (!authorizedAmount).",,
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Il tuo browser non permette l'esecuzione di JavaScript. Si prega di attivare JavaScript nel tuo browser e ricarica questa pagina.",,
"A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come non riuscito.",,
"Authorization Amount","Importo autorizzazione",,
"Mail order/telephone order authorization","l'autorizzazione di vendita per corrispondenza / telefono",,
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. È possibile definire il momento in cui il controllo di disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'.",,
"Alias and Recurring Payment","Alias ​​e pagamento ricorrente",,
"Select the date on which your card expires.","Seleziona la data di scadenza della carta.",,
"Please enter here the Bank Identifier Code (BIC).","Inserisci qui il codice di identificazione bancario (BIC).",,
"Direct capture after order","Contabilizzazione directa",,
"Could not find the payment method !paymentMethodName.","Impossibile trovare il metodo di pagamento !paymentMethodName.",,
"You have to enter a card number.","È necessario inserire un numero di carta.",,
"Payment is pending at PayboxCw","Pagamento è in sospeso in PayboxCw.",,
"IBAN number","Numero IBAN",,
"IBAN","IBAN",,
"Please select the brand of your card.","Seleziona la marca della vostra scheda.",,
"Could not find pressed button.","Impossibile trovare il pulsante premuto.",,
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Per la 'Contabilizzazione directa' l'importo viene contabilizzato direttamente dopo il pagamento completato. Per la 'Contabilizzazione ritardata' l'importo viene addebitato solo dopo un periodo di tempo definito da voi.",,
"No","No",,
"The transaction failed with error code !code.","L'operazione non riuscita con codice di errore !code.",,
"The given card number has an invalid length.","Il numero dato carta ha una lunghezza non valida.",,
"Card Expiration","Carta di data di scadenza",,
"The alias has been deleted.","L'alias è stato cancellato.",,
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Ordini il cui pagamento sono in sospeso più lungo del timeout definito in minuti saranno annullati automaticamente. Per utilizzare questa funzione devi impostare Magento cron.",,
"Enable the payment method","Attivare modalità di pagamento",,
"Maximum Order Total","Totale dell'ordine massimale",,
"When the store is not available (network outage, server failure or any other outage), when the feedback of Paybox is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Quando il negozio non è disponibile (interruzione di rete, errore del server o qualsiasi altra interruzione), quando viene inviato le valutazioni di Paybox, allora lo stato della transazione non viene aggiornato. Quindi nessuna conferma d'ordine e-mail viene inviata e l'ordine non è stato pagato. Attivando l'aggiornamento transazione, tali operazioni possono essere autorizzati in seguito su link diretto. Per utilizzare questa funzione, il servizio di aggiornamento deve essere attivata e il nome utente API e deve essere impostata la password API.",,
"Please enter here your social security number.","Inserisci qui il tuo numero di previdenza sociale.",,
"Order Grand Total","Totale complessivo dell'ordine",,
"PayboxCw Aliases","PayboxCw Alias",,
"Image Brand Selection","Image Brand Selection",,
"Live Mode","Live Mode",,
"Paybox Site","Paybox sito",,
"Yes, use images for the brand selection.","Sì, utilizzare le immagini per la selezione del marchio.",,
"Partial refund not possible. You may retry with the total transaction amount.","Rimborso parziale non è possibile. La somma è maggiore della quantità totale.",,
"Could not find template file at default location '!location'.","Impossibile trovare il file template nella posizione di default '!location'.",,
"A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzato nuovamente",,
"The capturing could not be conducted.","La cattura non poteva essere condotta.",,
"Test with Paybox 3D (MPI Testing)","Test with Paybox 3D (MPI Testing)",,
"Saved cards:","Carte salvate",,
"Successfull online refund of amount","L'importo è stato rimborsato con successo.",,
"Successful online refund of amount","Rimborso online di successo di importo",,
"Transaction Cancelled","Transazione annullata",,
"Site","Sito",,
"Paybox:","Paybox:",,
"Bank Name","Nome della banca",,
"The capturing could not be conducted with error code: $error.","La cattura non poteva essere condotta con il codice di errore: $error.",,
"Active","Attivo",,
"Only captured transaction can be refunded.","Solo transazioni contabilizzate possono essere rimborsate.",,
"Failed","Fallato",,
"The refunding could not be conducted.","Il rimborso non poteva essere effettuato.",,
"Total Shipping Charges","Totale spese di trasporto",,
"Payment Page","Pagina di pagamentoPayment Page",,
"Transaction cancelled successfully","Operazione annullata correttamente",,
"Please enter here the account holder name on the card.","Si prega di inserire qui il nome del titolare del conto sulla carta.",,
"Operation Mode","Modalità di funzionamento",,
"Cancelled Status","Stato della cancellazione",,
"Price","Prezzo",,
"3D Secure sucess","3D Secure successo",,
"Authorization Failed","Autorizzazione non riuscita",,
"The invoice has been changed.","La fattura è stata cambiata.",,
"Could not load layout from URL !url. Reason: !reason","Impossibile caricare il layout dal URL !url. motivo: !reason",,
"Sales Tax Number","Numero Sales Tax",,
"Bank account number","Numero di conto bancario",,
"Transaction Paid","Operazione è stata pagata",,
"Delayed","Ritardato",,
"The amount could not be verified.","L'importo non può essere verificata.",,
"If the test mode is selected the test account is used. Otherwise the configured account is used.","Se viene selezionata la modalità di test viene utilizzato l'account di prova. In caso contrario, viene utilizzato l'account configurato.",,
"Server","Server",,
"Action","Azione",,
"No, use the dropdown.","No, utilizzare il menu a discesa.",,
"Before payment selection","Prima della scelta del metodo di pagamento",,
"Please enter here the account holder name.","Si prega di inserire qui il nome del titolare del conto.",,
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Seleziona 'Creazione dopo l'ordine' se vuoi la fattura viene creata. Lo stato dell'ordine è basato sullo stato di contabilizzazione.",,
"SEPA Mandate ID","SEPA Mandate ID",,
"Please enter here the International Bank Account Number (IBAN).","Si prega di inserire qui la International Bank Account Number (IBAN).",,
"Month","Mese",,
"Direct E-Banking","Direct E-Banking",,
"The given card number has an invalid check sum.","Il numero dato carta ha un checksum non valido.",,
"Discount Amount","Importo sconto",,
"You can decide on the order status new orders should have after they are processed successfully.","Definire lo stato dell'ordine per i nuovi ordini, che sono stati trattati con successo.",,
"Successful","Di successo",,
"Titel","Titolo",,
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerto, quando il pagamento non è garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D.",,
"Shop Password","Shop Password",,
"The given CVC code has the wrong length.","Il dato codice CVC ha la lunghezza sbagliata.",,
"Update interval for payments","Intervallo di aggiornamento per i pagamenti",,
"You have to enter the location of your bank.","È necessario inserire la posizione della vostra banca.",,
"Payment captured successfully.","Pagamento catturato con successo.",,
"The recurring transaction could not be conductet with error code: !code, and reason: !reason:","The recurring transaction could not be conductet with error code: !code, and reason: !reason:",,
"The brand with key '!key' was not found in the card information map.","Il marchio con la chiave !key' non è stata trovata nella mappa dati della carta.",,
"You have to enter either the CVC code or the issue number of your card.","È necessario immettere il codice CVC o il numero di emissione della carta.",,
"Please select the day of your birth.","Si prega di selezionare il giorno della tua nascita.",,
"Company Commercial Number","Company Number Commerciale",,
"You have to enter the CVC code from your card.","È necessario immettere il CVC vostra carta.",,
"3D Secure failed","3D Secure fallito",,
"Payment Method","Metodo di pagamento",,
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Se lo stato è 'sospeso' non è chiaro se l'operazione verrà annullata correttamente.",,
"After payment selection","Dopo aver selezionato il metodo di pagamento",,
"Amount","Importo",,
"Rang","Rango",,
"This transaction is already closed for further captures.","Questa transazione è stata chiusa e senza ulteriori inserimenti sono.",,
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Se vi è un solo pezzo in magazzino ancora e il pagamento del cliente che vuole comprare questo prodotto fallisce, il prodotto sarà riservato a quando il fine di essere cancellato (vedere l'opzione Timeout). Attivare questa opzione se si desidera che il prodotto NON è riservata. Ordini con uno status pagamento riuscita o annullato allora vengono immediatamente cancellata.",,
"Directly after order (sale)","Direttamente dopo ordine (vendita)",,
"No refund possible.","Nessun rimborso possibile",,
"The whole transaction is cancelled.","L'intera operazione è stata annullata.",,
"Payment method description","Descrizione di metodo di pagamento",,
"Invoice settlement","Creazione della fattura",,
"Bank Location","Posizione della banca",,
"Transaction Uncertain","Transazione è incerto",,
"Select the authorization method to use for processing this payment method.","Selezionare il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento.",,
"Product","Prodotto",,
"Yes","Sì",,
"Cancel ID","Cancel ID",,
"Save","Salvare",,
"Total","Totale",,
"Please enter your IBAN number.","Inserisci il tuo numero IBAN.",,
"You will be redirect to the order confirmation page.","Ti verrà reindirizzato alla pagina di conferma dell'ordine.",,
"Title of the payment method","Nome del metodo di pagamento",,
"JCB","JCB",,
"Shipping & Handling","Shipping & Handling",,
"Test with Paybox 3D (Paybox Direct Plus))","Test with Paybox 3D (Paybox Direct Plus))",,
"Figure !number:","Figure !number:",,
"Subtotal","Totale parziale",,
"Payment from specific countries","Pagamento dei paesi specifici",,
"The invoice no longer exists.","La fattura non esiste più.",,
"Update","Aggiornare",,
"Paid Amount","Importo pagato",,
"A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsato",,
"Refund status","Stato di rimborso",,
"Discount","Discount",,
"Incl. Tax","Incl. Tasse",,
"MasterCard","MasterCard",,
"You can specify the order status for new orders that have an uncertain authorisation status.","È possibile specificare lo stato dell'ordine per i nuovi ordini che hanno uno status di autorizzazione incerto.",,
"Please enter the location of your bank.","Si prega di inserire la posizione della vostra banca.",,
"No additional payment information available.","Nessuna informazione di pagamento supplementare.",,
"Payment from applicable countries","Pagamento dei paesi applicabili",,
"The payment method !paymentMethod does not support recurring payment.","Il metodo di pagamento !Paymentmethod non supporta il pagamento ricorrente.",,
"Could not find a brand for the given card number.","Impossibile trovare un marchio per un dato numero di carta.",,
"You may choose one of the cards you paid before on this site.","È possibile scegliere tra una scheda usata in precedenza:",,
"Unable to save the invoice.","Impossibile salvare la fattura.",,
"Please check the entered CVC number.","Si prega di controllare il numero CVC inserito.",,
"A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnato come non riuscito.",,
"The invoice could not be captured and processed. Reason:","La fattura non può essere catturato e processato. motivo:",,
"If it is not applicable leave the field empty.","Se non è applicabile lasciare il campo vuoto.",,
"A cancelled transaction cannot be captured.","Una transazione annullata non può essere contabilizzato.",,
"Payment Information","Informazioni di pagamento",,
"Invoice was created successfully","La fattura è stato creato con successo.",,
"Please enter here the account number of your bank account.","Si prega di inserire il numero di conto del tuo conto bancario.",,
"<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">Il formato previsto è '!format' dove il 'MM' si intende il numero del mese e 'YY' il numero dell'anno.</span>",,
"Alias For Display","Alias ​​per esposizione",,
"BIC","BIC",,
"Continue","Continuare",,
"Please select","Si prega di selezionare",,
"A captured transaction cannot be marked as failed.","Una transazione contabilizzata non può essere contrassegnato come non riuscito.",,
"You have to enter commercial number of you company.","È necessario inserire il numero di imprese di compagnia.",,
"American Express","American Express",,
"A refund was added over !amount.","È stato aggiunto un rimborso di !amount.",,
"CVC Code","Codice CVC",,
"Technical issue: This payment methods is not available at the moment.","Problema tecnico: Questo metodo di pagamento non è disponibile in questo momento.",,
"Refund amount","L'importo di rimborso",,
"Capture amount","Importo catturato",,
"Identifier","Identifier",,
"Transaction captured successfully","Operazione è stata catturata con successo",,
"Shipping Refund","Rimborso per spedizione",,
"Transaction history","Sintesi delle transazioni",,
"This transaction is already closed for further refunds.","Questa transazione è stata chiusa per più crediti.",,
"This status is set, when the payment was successfull and it is authorized.","Questo stato viene impostato, quando il pagamento ha avuto esito positivo e che è autorizzato.",,
"Transaction was authorized over the deferred authorization mechanism.","Operazione è stata autorizzata il meccanismo di autorizzazione differita.",,
"Validation","Validazione",,
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Si prega di lampeggiare o disabilitare la memoria cache e riprovare. Se questo non ha aiutato, cambiare il metodo di autorizzazione per PaymentPage e <a href=""%s"" target=""_blank"">contattare sellXed</a>.', 'http://www.sellxed.com/en/support",,
"Please select the month of your birth.","Seleziona il mese della vostra nascita.",,
"Please enter your issue number, if there is no CVC code on your card.","Inserisci il tuo numero di rilascio, se non vi è alcun codice CVC sulla carta.",,
"A failed authorization cannot be authorized.","Una autorizzazione fallata non può essere autorizzato",,
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","L'importo di rimborso totale (!totalRefundedAmount) non può essere superiore all'importo catturato (!capturedAmount).",,
"Paybox Error","Errore di Paybox",,
"During authorization","Durante l'autorizzazione",,
"The payment method !paymentMethodName is not available in your country ('!country').","Il metodo di pagamento !paymentMethodName non è disponibile nel tuo paese ('!country').",,
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","La marca della carta di credito viene rilevato dal numero della carta se viene utilizzata l'autorizzazione nascosto. Se si utilizza la pagina di pagamento, l'utente deve selezionare la marca. Le marche di carte di credito autorizzati possono essere limitate da questa impostazione.",,
"Please enter here the name of the account owner.","Si prega di inserire il nome del titolare del conto.",,
"Row Total","Riga totale",,
"Invoice Items","Articoli fattura",,
"Social Security Number","Social Security Number",,
"Transaction Captured","Transazione contabilizzato",,
"Seller Protection","Protezione del venditore",,
"You have to enter your bank account number.","È necessario immettere il numero di conto del tuo conto bancario.",,
"You have to enter the name of the account owner.","È necessario immettere il titolare del conto.",,
"Invoice Totals","Totali fattura",,
"Paybox Password","Paybox Password",,
"Bank code number","Codice banca",,
"User Login","Login di utente",,
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definire lo stato dell'ordine per i nuovi ordini che hanno uno status incerto.",,
"A captured transaction cannot be authorized.","Una transazione catturata non può essere autorizzato.",,
"You have to enter the account holder name.","È necessario immettere il nome del titolare del conto.",,
"Please enter here the commercial number of your company.","Inserisci qui il numero commerciale della vostra azienda.",,
"Please enter here the bank code of your bank.","Si prega di inserire il codice banca .",,
"Description","Descrizione",,
"Allowed currencies for this payment method","Valuta ammesso per questo metodo di pagamento",,
"Please select the expiry year on your card.","Inserisci la data di scadenza della carta.",,
"Shipping Information","Informazioni di trasporto",,
"Edit","Modifica",,
"Date of Birth","Data di nascita",,
"A cancelled transaction cannot be authorized.","Una transazione annulato non può essere annullato.",,
"Manage Stores","Gestire negozi",,
"Delete","Cancellare",,
"Sort Order","Disporre l'ordine",,
"Billing address","Indirizzo di fatturazione",,
"Date","Data",,
"Only authorized transaction can be cancelled.","Solo transazioni autorizzate possono essere cancellate.",,
"Settlement after order","Creazione dopo l'ordine",,
"Captured Amount","Importo riconosciuto",,
"You have to enter the account holder name on the card.","È necessario immettere il nome del titolare del conto sulla carta.",,
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Lo schema mandato SEPA non contiene il tag '!tag'. È necessario questo tag.",,
"Minimum Order Total","Totale dell'ordine minimale",,
"Currency","Valuta",,
"The cancellation could not be conducted.","La cancellazione non può essere effettuata.",,
"Capture status","Stato catturato",,
"You have to enter the IBAN.","È necessario immettere il codice IBAN.",,
"Do only check the payment information (order)","Non solo controllare le informazioni di pagamento (ordine)",,
"Enabled","Attivato",,
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","I pagamenti possono essere aggiornati automaticamente (intervallo in minuti) via API (se activado). Per utilizzare la funzione, il Magento Cron deve essere abilitato.",,
"Year","Anno",,
"Day","Giorno",,
"Capture information","Informazione della contabilizzazione",,
"Show Further Settings and Information","Mostra ulteriori impostazioni e informazioni",,
"Paybox Rang","Paybox Rango",,
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","La selezione marchio carta avviene automaticamente a seconda del numero di carta inserito. Se non è attivo Javascript nel browser, una discesa viene visualizzato. Nel caso in cui JavaScript è attivo il logo del marchio possono essere visualizzate se la selezione marchio utilizza loghi.",,
"Diners Club","Diners Club",,
"Payment Id","ID pagamento",,
"Card Holder Name","Titolari di carte",,
"Authorization Method","Metodo di autorizzazione",,
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Abbiamo avuto un problema con l'estensione del pagamento da sellxed. Per maggiori informazioni, si prega di visitare la pagina di configurazione del plugin.",,
"Select the date of your birth.","Selezionare la data di nascita.",,
"Captured Status","Stato di Capture",,
"Success","Successo",,
"Credit Card Brands","Tipi di Carte di Credito",,
"Error with the length of the validation date.","Errore con la lunghezza della data di convalida.",,
"Credit memo's total must be positive.","Totale di nota di credito deve essere positivo.",,
"Payment could not be authorized. Cancelling order. Reason :","Pagamento non potesse essere autorizzato. L'ordine sarà annullato. Motivo:",,
"The authorization was not successful","L'autorizzazione non ha avuto successo.",,
"The layout does not contain the tag '!layout_tag'.","Il layout non contiene il tag '!layout_tag'.",,
"Could not convert object of type '!type' to string.","Impossibile convertire oggetto di tipo '!type' stringa.",,
"The invoice could not be found.","La fattura non è stato trovato.",,
"Account owner name.","Nome del titolare del conto bancario",,
"Use Default","Usa impostazioni predefinite",,
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","C'è stato un problema durante l'elaborazione del vostro pagamento. Si prega di contattare il proprietario del negozio per assicurarsi che il vostro ordine è stato effettuato con successo.",,
"Cancel status","Stato cancellazione",,
"A captured transaction cannot be cancelled.","Una transazione catturata non può essere annullato.",,
"The authorization method '!method' is not supported.","Il metodo autorizzazione '!method' non è supportato.",,
"Tax Amount","Importo Tax",,
"Order Prefix","Prefisso di ordine",,
"Only authorized transaction can be refunded.","Solo transazioni autorizzate possono essere rimborsate.",,
"Card Number","Numero di carta",,
"There seems to be a problem with the Paybox module.","Sembra esserci un problema con il modulo Paybox.",,
"Capturing","Capture",,
"3D Secure","3D Secure",,
"You have to enter the card holder name on the card.","È necessario immettere il titolare della carta",,
"Status","Stato",,
"Please enter here the card holder name on the card.","Si prega di dare al titolare una sulla vostra carta di credito.",,
"Authorized Status","Stato di autorizzazione",,
"The MAC-Password in order to encrypt the request","Il MAC-password per crittografare la richiesta",,
"The invoice could not be captured and processed by","Il conto non può essere contabilizzato o trattato da Paybox.",,
"The Hmac Key name of Paybox.","Il nome chiave HMAC di Paybox.",,
"Select Card Type","Selezionare il tipo di carta",,
"Paybox SSL Merchant Id","Paybox SSL Merchant ID",,
"You have to enter the name of your bank.","È necessario inserire il nome della vostra banca.",,
"Capture ID","Capture ID",,
"You have to enter bank code of your bank.","È necessario immettere il codice banca",,
"Canceling of this payment not possible!","Questo pagamento non può essere cancellato!",,
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","L'operazione alias non può essere condotta con il codice di errore: !code, e la ragione: !reason",,
"Alias","Alias",,
"Please enter here the sales tax number of your company.","Inserisci qui il numero imposta sulle vendite della tua azienda.",,
"Account Holder Name","Nome del titolare",,
"Enter the date on which your card expires.","Inserire la data in cui scade la vostra carta.",,
"Please select the expiry month on your card.","Seleziona il mese della data di scadenza della carta di credito.",,
"The amount of !amount is captured.","La quantità di X viene catturato.",,
"Please enter here the number on your card.","Si prega di inserire il numero di carta di carta di credito.",,
"Direct Debits","Direct Debits",,
"VISA","VISA",,
"Please check the entered credit card number.","Si prega di controllare il numero di carta di credito inserito.",,
"Invoices","Fatture",,
"New Order Status","Nuovo stato dell'ordine",,
"The amount of !amount is authorized.","La quantità di !amount è autorizzato.",,
"Refund Amount","Importo della restituzione",,
"You have to enter your IBAN Number.","Devi inserire il tuo numero IBAN.",,
"The payment method !paymentMethodName does not support the currency '!currency'.","l metodo di pagamento !paymentMethodName non supporta la moneta '!currency'.",,
"The brand with external name '!key' was not present in the map.","Il marchio con il nome esterno '!key' non era presente nella mappa.",,
"Please select the Bank Identifier Code (BIC) of your bank.","Seleziona il Bank Identifier Code (BIC) della vostra banca.",,
"Sales","Vendite",,
"Uncertain Status","Status incerto",,
"Payment ID","l'id di cassa",,
"Payment with Paybox","Pagamento con Paybox",,
"Refunded Amount","Importo accreditato",,
"Delivery address","Indirizzo di consegna",,
"Cannot update item quantity.","Impossibile aggiornare l'elemento quantitativo.",,
"Shipping Amount","Importo di spedizione",,
"Customer successfully returned from PayboxCw","Il cliente è tornato con successo da PayboxCw.",,
"Customer successfully returned from Paybox","Cliente ha restituito correttamente da ____ paymentServiceProviderName____",,
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card.","Impostando la cattura la prenotazione può essere catturato subito dopo l'ordine o poi manualmente sul backend del negozio. La differenza tra 'ordine' e ​​'autorizzazione' è che su 'ordine' solo viene fatto un controllo, ma non proprio una riserva sulla carta.",,
"Ajax authorization not supported.","Autorizzazione Ajax non supportato.",,
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Se lo stato è 'In sospeso' non è chiaro se l'operazione verrà catturato con successo.",,
"No authorization method found for payment method !method.","Nessun metodo di autorizzazione trovato per il pagamento !method.",,
